debug_generado,droga,marca,presentacion_original,forma,dosis,unidad,cantidad,resto
2026-07-10 12:57:40,abacavir,ABACAVIR ELEA,300 mg comp.rec.x 60,COMPRIMIDOS RECUBIERTOS,300,MG,60,
2026-07-10 12:57:40,abacavir,ZIAGENAVIR,300 mg comp.rec.x 60,COMPRIMIDOS RECUBIERTOS,300,MG,60,
2026-07-10 12:57:40,abacavir,FILABAC,300 mg comp.x 60,COMPRIMIDOS,300,MG,60,
2026-07-10 12:57:40,abacavir,PLUSABCIR,sol.oral x 240 ml,SOLUCIÓN ORAL,,,,
2026-07-10 12:57:40,"abacavir, lamivudina",ABACAVIR LAMIVUDINA TRB P,comp.rec.x 30,COMPRIMIDOS RECUBIERTOS,,,30,
2026-07-10 12:57:40,"abacavir, lamivudina",DAMARIS,comp.rec.x 30,COMPRIMIDOS RECUBIERTOS,,,30,
2026-07-10 12:57:40,"abacavir, lamivudina",SELMIVIR,comp.rec.x 30,COMPRIMIDOS RECUBIERTOS,,,30,
2026-07-10 12:57:40,"abacavir, lamivudina",PROFELVIR,comp.rec.x 30,COMPRIMIDOS RECUBIERTOS,,,30,
2026-07-10 12:57:40,"abacavir, lamivudina",KIVEXA,comp.rec.x 30,COMPRIMIDOS RECUBIERTOS,,,30,
2026-07-10 12:57:40,"abacavir, lamivudina, zidovudi",TRICIVIR,comp.rec.x 60,COMPRIMIDOS RECUBIERTOS,,,60,
2026-07-10 12:57:40,abatacept,ORENCIA,125 mg jga.prell.x 4,JERINGA PRELLENADA,125,MG,4,
2026-07-10 12:57:40,abatacept,ORENCIA,250 mg vial x 1,VIAL,250,MG,1,
2026-07-10 12:57:40,abemaciclib,VERZENIO,100 mg comp.x 14,COMPRIMIDOS,100,MG,14,
2026-07-10 12:57:40,abemaciclib,VERZENIO,150 mg comp.x 14,COMPRIMIDOS,150,MG,14,
2026-07-10 12:57:40,abemaciclib,VERZENIO,200 mg comp.x 14,COMPRIMIDOS,200,MG,14,
2026-07-10 12:57:40,abemaciclib,VERZENIO,50 mg comp.x 14,COMPRIMIDOS,50,MG,14,
2026-07-10 12:57:40,"abiraterona,acetato",REXINTH,250 mg comp.rec.x 120,COMPRIMIDOS RECUBIERTOS,250,MG,120,
2026-07-10 12:57:40,"abiraterona,acetato",DINOGARED,250 mg comp.x 120,COMPRIMIDOS,250,MG,120,
2026-07-10 12:57:40,"abiraterona,acetato",XATERON,250 mg comp.x 120,COMPRIMIDOS,250,MG,120,
2026-07-10 12:57:40,"abiraterona,acetato",ROTERONA,250 mg comp.x 120,COMPRIMIDOS,250,MG,120,
2026-07-10 12:57:40,"abiraterona,acetato",ABIRANOVA,250 mg comp.x 120,COMPRIMIDOS,250,MG,120,
2026-07-10 12:57:40,"abiraterona,acetato",BIRAT,250 mg comp.x 120,COMPRIMIDOS,250,MG,120,
2026-07-10 12:57:40,"abiraterona,acetato",ABIRATERONA GLENMARK,250 mg comp.x 120,COMPRIMIDOS,250,MG,120,
2026-07-10 12:57:40,"abiraterona,acetato",BITERA,250 mg comp.x 120,COMPRIMIDOS,250,MG,120,
2026-07-10 12:57:40,"abiraterona,acetato",TYGARONA,250 mg comp.x 120,COMPRIMIDOS,250,MG,120,
2026-07-10 12:57:40,"abiraterona,acetato",KESTAVA,250 mg comp.x 120,COMPRIMIDOS,250,MG,120,
2026-07-10 12:57:40,"abiraterona,acetato",ENORDEN,250 mg comp.x 120,COMPRIMIDOS,250,MG,120,
2026-07-10 12:57:40,"abiraterona,acetato",TEBIRAN,250 mg comp.x 120,COMPRIMIDOS,250,MG,120,
